"","shapeName","shapeGroup","shapeType","shapeISO","shapeID","shapeCanonical","total_area_km2","water_percentage_2018","tree_percentage_2018","flooded_vegetation_percentage_2018","crops_percentage_2018","built_area_percentage_2018","bare_ground_percentage_2018","snow_ice_percentage_2018","clouds_percentage_2018","rangeland_percentage_2018","water_percentage_2019","tree_percentage_2019","flooded_vegetation_percentage_2019","crops_percentage_2019","built_area_percentage_2019","bare_ground_percentage_2019","snow_ice_percentage_2019","clouds_percentage_2019","rangeland_percentage_2019","water_percentage_2020","tree_percentage_2020","flooded_vegetation_percentage_2020","crops_percentage_2020","built_area_percentage_2020","bare_ground_percentage_2020","snow_ice_percentage_2020","clouds_percentage_2020","rangeland_percentage_2020","water_percentage_2021","tree_percentage_2021","flooded_vegetation_percentage_2021","crops_percentage_2021","built_area_percentage_2021","bare_ground_percentage_2021","snow_ice_percentage_2021","clouds_percentage_2021","rangeland_percentage_2021","water_percentage_2022","tree_percentage_2022","flooded_vegetation_percentage_2022","crops_percentage_2022","built_area_percentage_2022","bare_ground_percentage_2022","snow_ice_percentage_2022","clouds_percentage_2022","rangeland_percentage_2022","water_percentage_2023","tree_percentage_2023","flooded_vegetation_percentage_2023","crops_percentage_2023","built_area_percentage_2023","bare_ground_percentage_2023","snow_ice_percentage_2023","clouds_percentage_2023","rangeland_percentage_2023","total_mine_cover_km2","mine_cover_of_state_percentage","burned_area_2018","burned_area_2019","burned_area_2020","burned_area_2021","burned_area_2022","burned_area_2023","CO2_total_2018","CO2_total_2019","CO2_total_2020","CO2_total_2021","CO2_total_2022","CO2_total_2023","CO_total_2018","CO_total_2019","CO_total_2020","CO_total_2021","CO_total_2022","CO_total_2023","TPM_total_2018","TPM_total_2019","TPM_total_2020","TPM_total_2021","TPM_total_2022","TPM_total_2023","PM25_total_2018","PM25_total_2019","PM25_total_2020","PM25_total_2021","PM25_total_2022","PM25_total_2023","TPC_total_2018","TPC_total_2019","TPC_total_2020","TPC_total_2021","TPC_total_2022","TPC_total_2023","NMHC_total_2018","NMHC_total_2019","NMHC_total_2020","NMHC_total_2021","NMHC_total_2022","NMHC_total_2023","OC_total_2018","OC_total_2019","OC_total_2020","OC_total_2021","OC_total_2022","OC_total_2023","CH4_total_2018","CH4_total_2019","CH4_total_2020","CH4_total_2021","CH4_total_2022","CH4_total_2023","SO2_total_2018","SO2_total_2019","SO2_total_2020","SO2_total_2021","SO2_total_2022","SO2_total_2023","BC_total_2018","BC_total_2019","BC_total_2020","BC_total_2021","BC_total_2022","BC_total_2023"
"1","Aargau","CHE","ADM1","CH-AG","70761945B11338788345342","Canton",1402.90505197995,1.16359481685082,29.8746627965412,0.000192743202114325,30.4894901445047,11.6163748029841,0.126170603501981,0,0,0.353922402313343,1.13292407882123,29.2755084330727,0.000192743202114325,29.9917338499847,11.4829882682069,0.111289568894111,0,0,0.444460606593487,1.12656889556482,28.8228486574917,0,30.585981571716,11.3741642128612,0.108582475819362,0,0,0.559037836859368,1.11602019248461,29.0920841542127,0,29.9642877307777,11.2563198763294,0.0998913568314083,0,0,0.428057776948284,1.12428311268058,28.9374225925332,0,30.212207009503,11.5848757432036,0.106074415225046,0,0,0.559989194935251,1.11093746176418,29.3361484660675,0,30.2574474200468,11.5910914686978,0.0834692453738268,0,0,0.459183776559746,0,0,0,0,0,0,0,0,0,609.499,0,3355.144,904.256,1146.058,0,33.551,0,184.692,49.777,63.088,0,6.255,0,34.431,9.28,11.761,0,4.423,0,24.35,6.563,8.318,0,3.358,0,18.484,4.982,6.314,0,3.212,0,17.681,4.765,6.04,0,3.158,0,17.382,4.685,5.937,0,1.391,0,7.656,2.063,2.615,0,0.37,0,2.034,0.548,0.695,0,0.2,0,1.102,0.297,0.377
"2","Appenzell Ausserrhoden","CHE","ADM1","CH-AR","70761945B71472094577065","Canton",242.687301188614,0,24.7589372559469,0,3.72164263532333,3.16974058775455,0.188835862387073,0.00142571964737736,0,23.2378744372299,0,23.857222082223,0,4.78905412183733,2.98629733600163,0.145880368071847,0.0712216348774606,0,20.8056742040438,0,23.8708317215128,0,2.91179031603873,2.96039682270791,0.126884462917846,0.0546913239801631,0,23.8979664055604,0,25.2655129047231,0,3.04383176743351,3.06293499840001,0.121295697309175,0.177689056868849,0,21.1205981109985,0,22.4655327026806,0,3.96974454621928,3.11192810608343,0.151453247788605,0.0348199254955683,0,23.484220866437,0,23.8689800301403,0,4.14230506379625,3.19475471040633,0.122628474031475,0.0156874691028294,0,21.3205828478033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3","Appenzell Innerrhoden","CHE","ADM1","CH-AI","70761945B73029947081098","Canton",172.374059181076,0.0852090890662664,26.3504769945208,0,4.65024235439406,1.85065883080111,0.330728313226463,0.0106208698219857,0,33.2923133338001,0.0788943667298543,26.2205430270306,0,5.0843721812863,1.80486455302176,0.0484237369342064,0.770063156694947,0,28.3128949844133,0.0741602704009217,25.2685945480928,0,4.36106218952078,1.77974637921613,0.085497127422963,0.673783052533792,0,30.6728902928151,0.102563780429088,26.8174665293781,0,3.82739620034005,1.80738549856643,0.0896874484011084,0.907500259171358,0,29.7972569253047,0.0599593715257879,22.5498635589607,0,4.24662677838266,1.87653787687256,0.17774651125869,0.160319571841986,0,34.4985647908753,0.0583821191961738,24.2782211844236,0,3.78376509369842,1.86861313536397,0.332961055407836,0.00790190176004597,0,33.7087694199636,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4","Bács-Kiskun","HUN","ADM1","HU-BK","22733592B34864686161966","County",8083.37616859337,0.386813770014313,14.3637551303076,0.114681978544528,56.7908879465054,4.18327499478892,0.0237323642319644,0,0,6.33596404636121,0.368496935891607,13.5074777130394,0.0445422158870977,55.700539866343,4.16478332399786,0.0481511431219249,0,0,7.9651817624891,0.379412694410584,12.9724125928939,0.185886160778402,56.902707338355,4.3037243439575,0.0301041429222181,0,0,7.28698880278725,0.369431070032228,13.360795293269,0.0635280018813902,56.8567208306112,4.33471469904093,0.0397799866361627,0,3.39231390937588e-05,7.28364759842987,0.352175726499861,12.7743409882014,0.062241710492903,57.9632602797677,4.33539972391004,0.0316029021215569,0,0,6.65599270574208,0.360508208017773,15.5502447726977,0.0876105054475752,54.9894809257507,4.43347950723202,0.0219270979373576,0,3.40357067686378e-05,6.47154618572493,0,0,42.932,1094.759,0,21.466,0,0,6125.473,9350.509,3696.589,5958.553,33812.08,2063.939,323.704,579.241,225.064,357.297,2089.357,129.455,40.656,70.832,27.598,43.918,255.599,15.8,24.985,37.183,14.743,23.826,134.515,8.19,11.409,17.872,7.046,11.326,64.6,3.954,27.213,54.878,21.079,33.118,197.625,12.364,9.157,13.655,5.413,8.747,49.395,3.009,15.907,32.233,12.376,19.437,116.068,7.263,1.631,2.387,0.949,1.534,8.636,0.524,2.235,4.213,1.628,2.574,15.185,0.945
"5","Baden-Württemberg","DEU","ADM1","DE-BW","10402087B60055985875400","Länder",35719.6851132526,0.296127635034926,36.4299918532743,0.00361053187830652,33.3993819648628,9.06304725074183,0.0206164697173832,0,0,2.11649157107658,0.29958478952589,35.9116488746653,0.00499294830436416,33.9733634852845,9.01473001425701,0.0171180717549392,0,0,1.99143039143626,0.300534099881073,35.535172539962,0.00356088301111459,33.6725250713409,9.03047233444844,0.0151699984572293,0,0,2.33189082994294,0.301570448408777,35.7609351498928,0.00417370724420054,34.2021862223049,8.93742378551287,0.0136500505459915,0,0,1.9001225842875,0.297786612385686,35.1920966344879,0.00302959771369889,33.3694887808868,9.20794706850878,0.0133425488353635,0,0,2.42126353456585,0.291163267011399,35.9807730777747,0.0052417440121389,33.2691998566238,9.11321048472608,0.0116253667302484,0,0,2.02935220811111,0,0,0,0,0,21.466,0,42.932,35899.585,11434.477,11737.402,36300.699,46335.913,30803.567,1915.621,670.333,673.106,1960.307,2597.219,1664.923,287.081,87.39,93.541,293.902,355.786,239.455,190.436,50.315,56.888,193.448,218.373,154.623,117.136,26.666,33.047,119.869,122.325,90.93,169.038,61.818,61.871,174.749,233.807,147.084,104.588,21.938,28.426,106.987,104.506,79.81,87.761,35.148,33.854,90.733,129.157,78.675,14.265,3.438,4.089,14.519,15.477,11.3,12.49,4.716,4.61,12.828,17.756,11.067
"6","Baranya","HUN","ADM1","HU-BA","22733592B86637050333024","County",4021.65500287587,0.589768792553164,23.9698123776722,0.00712546095549781,52.9294354571972,4.24094465638796,0.00547573475072776,0,0,1.03522718774658,0.588449625792241,23.315948501565,0.0035280554324351,52.9191251330366,4.31648560865428,0.00471566494935147,0,0,0.990211173042765,0.601691638294758,23.3260251630132,0.00373548731368157,53.1404094103129,4.41298643179265,0.00526455976104773,0,0,1.05475078726947,0.585577497432913,23.3576690499104,0.00255997169656723,53.4418199081908,4.38506589624571,0.00609308642686163,0,0,0.966839649770187,0.583250113858202,23.168038274997,0.00505059032102247,53.8152307989134,4.4586560126544,0.00588417297097619,0,0,0.938226612598794,0.600655198455996,24.4650245758701,0.00131444258704914,51.2931583950324,4.40414307418099,0.00505491344160647,0,0,1.18528248116279,23.2548575210471,0.578240979793678,0,42.932,0,0,0,0,1867.14,13330.353,2095.814,4099.607,2353.867,936.394,118.174,818.094,133.129,253.384,150.76,60.004,14.403,100.189,16.217,30.997,18.341,7.299,7.396,53.096,8.297,16.307,9.305,3.702,3.582,25.437,4.023,7.833,4.526,1.801,11.352,77.03,12.817,23.971,14.59,5.809,2.717,19.495,3.048,5.988,3.419,1.36,6.671,45.233,7.533,14.079,8.575,3.415,0.474,3.413,0.531,1.047,0.594,0.236,0.865,5.934,0.975,1.842,1.106,0.441
"7","Basel-Landschaft","CHE","ADM1","CH-BL","70761945B84766611276082","Canton",517.329857787528,0.147173935691127,35.3741128557819,0,20.6177115114034,13.6254264864313,0.0901253960841087,0,0,3.55491296666681,0.141803060022177,33.7417117463289,0,20.8402609370237,13.5376727914832,0.0712627497088694,0,0,3.35746533491924,0.140293807114115,32.9440615785138,0,21.2128327994313,13.5479685949269,0.0665478235654411,0,0,4.00507523680241,0.135224192353388,33.4615755359387,0,20.6909324606183,13.3860947233792,0.0618303297969995,0.000523087693501357,0,3.38042616922653,0.136082063129937,32.5441307471653,0,20.1668623733095,13.7752910212146,0.0681191724622438,0,0,4.28582835687296,0.138174181257236,33.6030090605955,0,19.9907740907396,13.6639067638581,0.0618280397770035,0,0,4.08313503555076,0,0,0,0,0,0,0,0,3077.53,0,0,4240.152,450.047,0,195.464,0,0,269.306,28.584,0,23.81,0,0,32.805,3.482,0,12.184,0,0,16.786,1.782,0,5.908,0,0,8.14,0.864,0,18.817,0,0,25.926,2.752,0,4.476,0,0,6.167,0.655,0,11.059,0,0,15.236,1.617,0,0.78,0,0,1.075,0.114,0,1.432,0,0,1.973,0.209,0
"8","Basel-Stadt","CHE","ADM1","CH-BS","70761945B62987387977087","Canton",36.927195849445,1.96269942254635,9.80785680133415,0,3.61660730311665,67.3328150970355,0,0,0,1.62499261545996,1.95020283380339,9.17412833363248,0,3.30086131943289,67.0066365336525,0,0,0,2.10775277781204,1.90625478453087,8.85907911006159,0,3.13330524685081,67.252414254981,0,0,0,2.16653353093253,1.83876934732088,8.79367681935937,0,3.58631248011007,66.7974187185962,0,0,0,1.53753391789803,1.80888944232229,9.07719476312096,0,3.09386522225021,67.9283277977611,0,0,0,1.89630316854989,1.88210771873232,9.15634030618487,0,3.45277349332646,67.4510380560142,0,0,0,1.91522056441028,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9","Bayern","DEU","ADM1","DE-BY","10402087B60477050509260","Länder",70480.8865458736,0.797135056684464,32.8737417110494,0.00316075791438859,38.2226764133638,6.3346291484327,0.0526831055610667,0.00608495592753802,3.82616046286396e-06,1.85878102362835,0.807537384597376,32.5617122175933,0.00498361784134581,38.5739971049035,6.3896142384775,0.0279469146261312,0.032471805760383,0,1.6171164048362,0.814053573299419,32.1347775175885,0.00531486333286092,38.5921150006658,6.39195520718309,0.0271182686659621,0.0294193123754946,0,1.80676871097267,0.807186506278621,32.6185771251419,0.00556511092866481,38.1707530129777,6.30099350105946,0.0255379153190035,0.0438842649630735,1.13015785488282e-05,1.79084931584257,0.804493733237142,32.179647088949,0.00498512931783827,37.6486670232243,6.55410892271743,0.0295330644707522,0.0263064580319228,0,2.05677872444765,0.802746048784038,32.8008616887799,0.00346710907521985,37.4842599362825,6.48963415782244,0.037550092857384,0.0111118308596374,0,1.97932928507008,18.1901533079559,0.025808632881488,42.932,0,21.466,0,279.057,0,31115.768,30781.283,31679.065,67680.087,61938.813,93790.626,1625.665,1782.37,1807.852,3608.874,3422.032,5112.847,234.374,245.465,271.274,503.708,487.088,728.825,155.198,147.477,172.232,323.939,308.139,465.83,89.708,85.031,110.241,180.975,181.035,272.013,139.532,164.716,168.399,312.99,307.098,453.983,78.961,72.726,98.191,156.694,157.959,237.673,74.493,90.63,87.52,170.924,165.453,244.345,11.308,10.538,13.036,23.138,22.426,33.876,10.681,12.275,12.028,24.148,22.99,34.19
"10","Békés","HUN","ADM1","HU-BE","22733592B23182986205710","County",5480.26373554635,0.316923643480541,2.12302357286904,0.0338700841196544,82.5705514141245,4.40467571862973,0.000150631520395249,0,0,3.04055659392126,0.303386316057439,2.22652887831181,0.031661898839707,81.9634528951846,4.35744881842678,0.00327388263267539,0,0,2.9104758168884,0.324153026799291,1.92291359396717,0.0271173988060236,83.1413367803628,4.41867404246519,0.000100410983364349,0,0,2.80431599426641,0.315726912744772,2.14624895703326,0.0355975400457371,82.9369087425666,4.48546513080646,0.00277054628991031,0,0,2.50313057128044,0.311821784607635,1.76949045553243,0.0150366034853548,84.1567167089187,4.46851032458463,0.00130881671036144,0,0,1.95282126356542,0.304658864630848,2.44092551237864,0.0210746683534318,82.5578706193655,4.49641252151982,0.00135978444241346,0,0,2.30747341818383,0,0,21.466,0,0,0,193.193,0,11426.164,15348.207,4251.836,16597.957,6741.129,1771.016,735.217,986.764,273.358,1067.244,432.948,113.682,89.381,119.977,33.237,129.76,52.649,13.825,45.128,60.629,16.796,65.565,26.635,6.998,21.987,29.53,8.18,31.935,12.967,3.406,71.354,95.718,26.515,103.532,41.969,11.016,16.581,22.275,6.171,24.089,9.785,2.571,41.948,56.268,15.588,60.863,24.673,6.476,2.883,3.875,1.072,4.19,1.702,0.448,5.406,7.253,2.01,7.846,3.182,0.836
